LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,12:30,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,0,1,0,0,0,0,1,0,0,0,10:00,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,13:00,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,08:05,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,11:01,TERCA-FEIRA,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,1,0,0,0,09:44,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,0,0,0,1,0,0,0,0,0,0,17:30,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,18:00,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,1,0,0,11:50,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,19:25,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,08:45,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,15:55,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,CHOQUE,2,0,0,0,0,0,0,0,0,0,13:30,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,17:28,TERCA-FEIRA,BOM,CENTRO,0,1
Logradouro,ABALROAMENTO,1,0,1,0,0,0,0,0,0,0,14:50,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,0,2,0,0,0,0,0,0,0,0,10:30,TERCA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,18:35,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,09:25,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,0,0,0,0,0,0,0,2,0,0,15:50,TERCA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,3,0,0,0,0,0,0,0,0,0,09:50,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,14:00,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,15:00,TERCA-FEIRA,BOM,LESTE,0,0
