LOCAL,TIPO_ACID,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Cruzamento,CHOQUE,08:40,QUINTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,18:45,QUINTA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,13:45,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,13:00,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,EVENTUAL,10:20,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,19:30,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,17:30,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,11:00,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,08:25,QUINTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,18:30,QUINTA-FEIRA,CHUVOSO,LESTE,0,0
Logradouro,ABALROAMENTO,17:20,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,COLISAO,09:15,QUINTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,CHOQUE,15:25,QUINTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,13:20,QUINTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,17:30,QUINTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,07:10,QUINTA-FEIRA,CHUVOSO,SUL,0,0
Cruzamento,ABALROAMENTO,01:50,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,21:00,SEXTA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,15:40,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,11:30,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,17:30,SEXTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,ATROPELAMENTO,06:10,SEXTA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,10:43,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,EVENTUAL,11:00,SEXTA-FEIRA,NUBLADO,SUL,0,0
Cruzamento,ABALROAMENTO,14:15,SEXTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,11:29,SEXTA-FEIRA,BOM,SUL,0,1
Cruzamento,ABALROAMENTO,07:20,SEXTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,16:29,SEXTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,09:10,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,15:35,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,11:20,SEXTA-FEIRA,BOM,CENTRO,0,0
Cruzamento,ATROPELAMENTO,00:18,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,19:30,SEXTA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,07:30,SEXTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,18:45,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,13:00,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,06:00,SEXTA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,06:20,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,ATROPELAMENTO,17:40,SEXTA-FEIRA,BOM,LESTE,0,1
Logradouro,COLISAO,15:00,SEXTA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,15:50,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,15:15,SEXTA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,10:00,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,23:00,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,18:10,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,11:30,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,16:20,SEXTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,07:40,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,QUEDA,14:55,SEXTA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,12:30,SEXTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,16:00,SABADO,NUBLADO,SUL,0,0
Cruzamento,ABALROAMENTO,11:15,SABADO,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,16:50,SABADO,BOM,SUL,0,1
Logradouro,ABALROAMENTO,04:50,SABADO,BOM,SUL,0,1
Logradouro,COLISAO,17:00,SABADO,BOM,SUL,0,0
Logradouro,CHOQUE,06:20,SABADO,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,12:35,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,06:00,SABADO,BOM,CENTRO,0,0
Cruzamento,COLISAO,18:30,SABADO,NUBLADO,SUL,0,0
Logradouro,COLISAO,11:00,SABADO,NUBLADO,CENTRO,0,0
Cruzamento,COLISAO,10:40,SABADO,BOM,SUL,0,0
Logradouro,COLISAO,14:10,SABADO,BOM,SUL,0,0
Logradouro,ABALROAMENTO,19:10,SABADO,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,12:15,SABADO,NUBLADO,LESTE,0,0
Logradouro,CHOQUE,06:29,SABADO,BOM,SUL,0,0
Logradouro,COLISAO,12:00,SABADO,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,01:30,SABADO,BOM,SUL,0,0
Logradouro,ABALROAMENTO,22:15,SABADO,BOM,SUL,0,1
Logradouro,COLISAO,17:50,SABADO,NUBLADO,NORTE,0,0
Logradouro,COLISAO,00:15,SABADO,BOM,LESTE,0,1
Logradouro,CHOQUE,19:30,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,06:50,DOMINGO,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,16:00,DOMINGO,BOM,SUL,0,1
Logradouro,ABALROAMENTO,20:30,DOMINGO,BOM,CENTRO,0,0
Logradouro,CHOQUE,12:00,DOMINGO,BOM,SUL,0,0
Logradouro,CHOQUE,01:48,DOMINGO,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,16:53,DOMINGO,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,08:06,DOMINGO,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,12:06,DOMINGO,BOM,SUL,0,1
Logradouro,COLISAO,18:50,DOMINGO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,11:30,DOMINGO,BOM,LESTE,0,0
Logradouro,CHOQUE,02:00,DOMINGO,BOM,LESTE,0,0
Logradouro,COLISAO,12:15,DOMINGO,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,18:50,DOMINGO,BOM,SUL,0,0
Logradouro,ABALROAMENTO,18:50,DOMINGO,BOM,SUL,0,0
Logradouro,ABALROAMENTO,00:30,DOMINGO,BOM,LESTE,0,0
Logradouro,COLISAO,15:00,DOMINGO,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,06:36,DOMINGO,BOM,NORTE,0,0
Logradouro,ATROPELAMENTO,22:00,DOMINGO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,09:00,DOMINGO,BOM,NORTE,0,1
Logradouro,CHOQUE,05:08,DOMINGO,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,13:35,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,08:04,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,10:25,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,22:50,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,11:36,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,QUEDA,08:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,15:05,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Cruzamento,COLISAO,09:30,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,00:05,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,13:30,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,EVENTUAL,18:07,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,08:40,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,18:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,12:20,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,14:30,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,11:00,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,QUEDA,18:10,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,16:45,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,10:45,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,17:40,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,08:55,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,16:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,21:45,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,COLISAO,11:25,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,17:30,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,11:55,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,16:09,SEGUNDA-FEIRA,NUBLADO,LESTE,0,0
Cruzamento,COLISAO,08:40,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,09:10,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,COLISAO,11:40,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,13:30,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,13:20,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,08:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,15:15,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,COLISAO,08:06,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,08:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,14:15,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,11:30,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,10:18,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,09:32,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,08:00,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,19:45,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,CHOQUE,13:45,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,15:40,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,09:35,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,11:00,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,14:20,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,12:20,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,11:00,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,13:55,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,16:05,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,08:00,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,15:23,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,13:15,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,07:20,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,21:10,TERCA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,10:15,TERCA-FEIRA,BOM,NORTE,0,0
