;LATITUDE;LONGITUDE
1952;-30.038835;-51.164089000000004
1953;-30.007389;-51.158719
1954;-29998464.0;-51.155133
1955;-30.041453000000004;-51.151543
1956;-30.010739;-51.127340000000004
1957;-29991366.0;-51.127266
1958;-29996976.0;-51.125246000000004
1959;-30.019788000000002;-51.119745
1960;-29989553.0;-51.113392
1961;-29991917.0;-51.112388
1962;-30.029484000000004;-51.236319
1963;-30.032859000000002;-51.234221000000005
1964;-30.096220000000002;-51.228925
1965;-30.160707000000002;-51.227849
1966;-30.035141999999997;-51.227759999999996
1967;-30.09432;-51.225757
1968;-30.028326;-51.224585999999995
1969;-30.08185;-51.222607
1970;-30.059884000000004;-51.219489
1971;-30.044062;-51.217444
1972;-30.084363;-51.214877
1973;-30.081318;-51.212747
1974;-30.021164000000002;-51.212078000000005
1975;-30.013415999999996;-51.211876000000004
1976;-30.04192;-51.211552000000005
1977;-30.049801000000002;-51.209015
1978;-30.067473;-51.207567
1979;-30.027396000000003;-51.207086
1980;-30.030293;-51.203686
1981;-30.072727;-51.200733
1982;-30.053303999999997;-51.200367
1983;-30.02763;-51.200157
1984;-30.072546999999997;-51.199657
1985;-29997951.0;-51.198098
1986;-30.031371999999998;-51.197904
1987;-29998690.0;-51.194482
1988;-30.000207;-51.194123
1989;-29996491.0;-51.193748
1990;-30.000353999999998;-51.193447
1991;-30.002433;-51.19038
1992;-30.023346000000004;-51.190319
1993;-30.001265000000004;-51.188952
1994;-30.006345;-51.188869
1995;-30.087993;-51.184352000000004
1996;-30.051058;-51.181028999999995
1997;-30.209296999999996;-51.18025
1998;-30.002318;-51.178714
1999;-30.018796999999996;-51.178108
2000;-29974459.0;-51.177606
2001;-30.033728000000004;-51.177109
2002;-30.091641;-51.176094
2003;-30.12367;-51.173518
2004;-30.054644;-51.169073
2005;-30.01388;-51.161516
2006;-30.027459000000004;-51.158838
2007;-30.010232000000002;-51.155097999999995
2008;-29997097.0;-51.152352
2009;-30.009639;-51.145845
2010;-29996932.0;-51.142609
2011;-30.019025;-51.139272
2012;-30.000213000000002;-51.130171000000004
2013;-30.043057;-51.123607
2014;-29986096.0;-51.121264000000004
2015;-29990574.0;-51.105315000000004
2016;-29996516.0;-51.094235
2017;-30.081892;-51.231199
2018;-30.030725;-51.224796000000005
2019;-30.028523;-51.217405
2020;-30.038606;-51.214005
2021;-30.050196999999997;-51.212828
2022;-30.044902;-51.209363
2023;-30.128259999999997;-51.201519
2024;-30.083142;-51.195004
2025;-30.039568;-51.193539
2026;-30.006863;-51.192818
2027;-30.060225;-51.190083
2028;-30.050377;-51.187331
2029;-30.184031;-51.174696000000004
2030;-30.065375;-51.173682
2031;-30.009598999999998;-51.152058000000004
2032;-30.162125;-51.150372
2033;-30.058502;-51.148303000000006
2034;-30.003390999999997;-51.144557
2035;-30.009978999999998;-51.14011
2036;-29997407.0;-51.136368
2037;-29999036.0;-51.132841
2038;-30.030778;-51.121043
2039;-30.012815999999997;-51.098855
2040;-30.082895;-51.247007
2041;-30.09682;-51.234
2042;-30.047214;-51.221494
2043;-30.028608000000002;-51.220077
2044;-30.083883;-51.214551
2045;-30.079983000000002;-51.213009
2046;-29995738.0;-51.205419
2047;-29987988.0;-51.203039000000004
2048;-30.046111;-51.202819
2049;-30.044633;-51.198921999999996
2050;-30.004865999999996;-51.196121000000005
2051;-30.136878000000003;-51.194899
2052;-30.071248999999998;-51.193041
2053;-29992277.0;-51.192651
2054;-29999750.0;-51.189657000000004
2055;-30.042646;-51.183626000000004
2056;-30.096859999999996;-51.175940000000004
2057;-30.021239;-51.173557
2058;-30.002232;-51.170916999999996
2059;-30.042146000000002;-51.144964
2060;-30.002721;-51.123014000000005
2061;-30.013123999999998;-51.118942
2062;-30.008387;-51.118024
2063;-30.082895;-51.247007
2064;-30.035163;-51.236181
2065;-30.028878999999996;-51.225691
2066;-30.030074;-51.224922
2067;-30.099904;-51.22472
2068;-30.039519;-51.218817
2069;-30.111361;-51.217055
2070;-30.080955;-51.216718
2071;-30.024951;-51.216031
2072;-30.02931;-51.215035
2073;-30.049213;-51.211197999999996
2074;-30.042994;-51.207106
2075;-29998680.0;-51.206099
2076;-29995105.0;-51.205227
2077;-30.028534999999998;-51.204221000000004
2078;-30.027786;-51.203865
2079;-30.072913;-51.201418
2080;-30.149766999999997;-51.201361999999996
2081;-29998640.0;-51.201347
2082;-30.033496999999997;-51.200883000000005
2083;-30.008451;-51.200869
2084;-30.023972999999998;-51.200537
2085;-30.02763;-51.200157
2086;-30.077046000000003;-51.199606
2087;-29997951.0;-51.198098
2088;-30.024523;-51.197807
2089;-30.040907;-51.196211
2090;-30.038914000000002;-51.195878
2091;-30.039417999999998;-51.195864
2092;-30.006669;-51.193265000000004
2093;-29996269.0;-51.191833
2094;-30.062426000000002;-51.185611
2095;-30.063825;-51.181618
2096;-30.040434;-51.177890999999995
2097;-30.145422999999997;-51.175734999999996
2098;-30.037662;-51.174402
2099;-30.017287;-51.174285999999995
2100;-30.014409999999998;-51.17192
2101;-30.002702000000003;-51.168952000000004
2102;-30.048102;-51.164966
2103;-30.042146999999996;-51.154117
2104;-30.052678000000004;-51.146997
2105;-30.029125;-51.14496
2106;-30.02236;-51.144627
2107;-30.016352;-51.138917
2108;-29995097.0;-51.137115
2109;-30.012055;-51.135659000000004
2110;-30.039087;-51.12669
2111;-29979901.0;-51.114645
2112;-29978107.0;-51.114483
2113;-29984899.0;-51.111041
2114;-30.108579;-51.108473
2115;-30.223314000000002;-51.098957
2116;-30.012334999999997;-51.098385
2117;-30.099349;-51.25502
2118;-30.097309000000003;-51.248072
2119;-30.088494;-51.241512
2120;-30.032609000000004;-51.229628999999996
2121;-30.105543;-51.228845
2122;-30.037793;-51.228403
2123;-30.049387;-51.227968
2124;-30.049771999999997;-51.224323999999996
2125;-30.032413000000002;-51.218647999999995
2126;-30.02572;-51.218018
2127;-30.039537;-51.215031
2128;-30.015653000000004;-51.214535999999995
2129;-30.011658;-51.212536
2130;-30.114638;-51.21239
2131;-30.051964;-51.212068
2132;-30.045868;-51.212026
2133;-30.040461999999998;-51.208024
2134;-30.04905;-51.207954
2135;-30.116847999999997;-51.207327
2136;-29996133.0;-51.20688
2137;-30.017828;-51.206669
2138;-30.025084000000003;-51.20448
2139;-29997051.0;-51.197739
2140;-30.082576;-51.196033
2141;-30.004305;-51.191628
2142;-30.001687;-51.187389
2143;-30.062724;-51.178778
2144;-30.056212;-51.174088
2145;-30.050292;-51.171718
2146;-30.156722;-51.161212
2147;-30.009764;-51.159308
2148;-30.008328999999996;-51.156612
2149;-30.037271999999998;-51.153621
2150;-30.151424;-51.141746000000005
2151;-30.100862;-51.140532
2152;-30.024171000000003;-51.136917
2153;-29993078.0;-51.128401000000004
2154;-30.025246999999997;-51.120094
2155;-29985012.0;-51.109346
2156;-29996401.0;-51.106988
2157;-30.111963;-51.25295
2158;-30.073309000000002;-51.241392
2159;-30.100740000000002;-51.237396999999994
2160;-30.10169;-51.230807
2161;-30.03701;-51.230107000000004
2162;-30.025736;-51.226859000000005
2163;-30.024428000000004;-51.223566999999996
2164;-30.101682;-51.223308
2165;-30.082093;-51.222836
2166;-30.03684;-51.222178
2167;-30.022982;-51.219027000000004
2168;-30.037246999999997;-51.218677
2169;-30.032346999999998;-51.216454999999996
2170;-30.058490999999997;-51.216406
2171;-30.049490000000002;-51.213017
2172;-30.067628999999997;-51.212967
2173;-30.034594;-51.211467999999996
2174;-30.11518;-51.210035999999995
2175;-30.035525;-51.209668
2176;-30.017053000000004;-51.207716999999995
2177;-30.116418;-51.204475
2178;-30.022916;-51.202277
2179;-30.00783;-51.200663
2180;-30.013415999999996;-51.20023
2181;-30.155433000000002;-51.197444
