"ID";"LOG1";"LOG2";"PREDIAL1";"LOCAL";"TIPO_ACID";"LOCAL_VIA";"QUEDA_ARR";"DATA_HORA";"DATA";"DIA_SEM";"HORA";"FERIDOS";"FERIDOS_GR";"MORTES";"MORTE_POST";"FATAIS";"AUTO";"TAXI";"LOTACAO";"ONIBUS_URB";"ONIBUS_MET";"ONIBUS_INT";"CAMINHAO";"MOTO";"CARROCA";"BICICLETA";"OUTRO";"TEMPO";"NOITE_DIA";"FONTE";"BOLETIM";"REGIAO";"DIA";"MES";"ANO";"FX_HORA";"CONT_ACID";"CONT_VIT";"UPS";"CONSORCIO";"CORREDOR";"LONGITUDE";"LATITUDE"
602638;"ESTR BARRO VERMELHO";;262;"Logradouro";"ABALROAMENTO";"262 ESTR BARRO VERMELHO";0;"2015-02-13T08:20:00";"20150213";"SEXTA-FEIRA";"08:20";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"096215";"SUL";13;2;2015;8;1;1;5;;0;"-51.147761";"-30.162211"
616875;"ESTR BARRO VERMELHO";;264;"Logradouro";"ABALROAMENTO";"264 ESTR BARRO VERMELHO";0;"2015-03-11T09:30:00";"20150311";"QUARTA-FEIRA";"09:30";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"DDT";"0102063315";"SUL";11;3;2015;9;1;0;1;;0;"-51.147741";"-30.162212"
604375;"ESTR JOAO ANTONIO SILVEIRA";;919;"Logradouro";"ABALROAMENTO";"919 ESTR JOAO ANTONIO SILVEIRA";0;"2015-03-26T11:06:00";"20150326";"QUINTA-FEIRA";"11:06";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;"NUBLADO";"DIA";"EPTC";"284056";"SUL";26;3;2015;11;1;0;1;;0;"-51.147754";"-30.159058"
614713;"ESTR BARRO VERMELHO";;370;"Logradouro";"ATROPELAMENTO";"370 ESTR BARRO VERMELHO";0;"2015-08-26T18:53:00";"20150826";"QUARTA-FEIRA";"18:53";0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"601615";"SUL";26;8;2015;18;1;1;13;;0;"-51.146717";"-30.162257"
621011;"ESTR BARRO VERMELHO";;545;"Logradouro";"COLISAO";"545 ESTR BARRO VERMELHO";0;"2015-12-07T07:17:00";"20151207";"SEGUNDA-FEIRA";"07:17";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"853515";"SUL";7;12;2015;7;1;1;5;;0;"-51.144871";"-30.162283"
611703;"ESTR BARRO VERMELHO";;624;"Logradouro";"COLISAO";"624 ESTR BARRO VERMELHO";0;"2015-07-14T19:00:00";"20150714";"TERCA-FEIRA";"19:00";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"505015";"SUL";14;7;2015;19;1;1;5;;0;"-51.143624";"-30.16214"
608699;"ESTR JOAO ANTONIO SILVEIRA";;1064;"Logradouro";"ATROPELAMENTO";"1064 ESTR JOAO ANTONIO SILVEIRA";0;"2015-06-01T17:40:00";"20150601";"SEGUNDA-FEIRA";"17:40";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"388615";"SUL";1;6;2015;17;1;1;5;;0;"-51.146406";"-30.157874"
609430;"ESTR JOAO ANTONIO SILVEIRA";;1064;"Logradouro";"ABALROAMENTO";"1064 ESTR JOAO ANTONIO SILVEIRA";0;"2015-06-11T08:45:00";"20150611";"QUINTA-FEIRA";"08:45";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"CHUVOSO";"DIA";"EPTC";"286583";"SUL";11;6;2015;8;1;0;1;;0;"-51.146406";"-30.157874"
609431;"ESTR JOAO ANTONIO SILVEIRA";;1064;"Logradouro";"COLISAO";"1064 ESTR JOAO ANTONIO SILVEIRA";0;"2015-06-11T08:49:00";"20150611";"QUINTA-FEIRA";"08:49";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"CHUVOSO";"DIA";"EPTC";"286582";"SUL";11;6;2015;8;1;0;1;;0;"-51.146406";"-30.157874"
618222;"ESTR JOAO ANTONIO SILVEIRA";;1071;"Logradouro";"CHOQUE";"1071 ESTR JOAO ANTONIO SILVEIRA";0;"2015-10-24T02:00:00";"20151024";"SABADO";"02:00";2;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"739615";"SUL";24;10;2015;2;1;1;13;;0;"-51.146126";"-30.157742"
605442;"ESTR JOAO ANTONIO SILVEIRA";;1134;"Logradouro";"ATROPELAMENTO";"1134 ESTR JOAO ANTONIO SILVEIRA";0;"2015-04-17T20:25:00";"20150417";"SEXTA-FEIRA";"20:25";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"266715";"SUL";17;4;2015;20;1;1;5;;0;"-51.146145";"-30.157685"
606360;"R CLARA NUNES";;729;"Logradouro";"CHOQUE";"729 R CLARA NUNES";0;"2015-05-07T20:55:00";"20150507";"QUINTA-FEIRA";"20:55";2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"319815";"SUL";7;5;2015;20;1;1;5;;0;"-51.146021";"-30.156894"
622019;"ESTR JOAO ANTONIO SILVEIRA";;1340;"Logradouro";"COLISAO";"1340 ESTR JOAO ANTONIO SILVEIRA";0;"2015-12-27T01:00:00";"20151227";"DOMINGO";"01:00";2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"NUBLADO";"NOITE";"DEPTRAN";"907215";"SUL";27;12;2015;1;1;1;5;;0;"-51.145123";"-30.156873"
607440;"R CLARA NUNES";;740;"Logradouro";"ABALROAMENTO";"740 R CLARA NUNES";0;"2015-05-19T16:25:00";"20150519";"TERCA-FEIRA";"16:25";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;"BOM";"DIA";"DEPTRAN";"352815";"SUL";19;5;2015;16;1;1;5;;0;"-51.146464";"-30.156619"
607463;"R DAVID CHERMAN";;4672;"Logradouro";"CHOQUE";"4672 R DAVID CHERMAN";0;"2015-01-08T12:00:00";"20150108";"QUINTA-FEIRA";"12:00";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"DIA";"DDT";"316025315";"SUL";8;1;2015;12;1;0;1;;0;"-51.146415";"-30.156525"
606200;"ESTR JOAO ANTONIO SILVEIRA";;1370;"Logradouro";"ATROPELAMENTO";"1370 ESTR JOAO ANTONIO SILVEIRA";0;"2015-05-05T18:44:00";"20150505";"TERCA-FEIRA";"18:44";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"309715";"SUL";5;5;2015;18;1;1;5;;0;"-51.14472";"-30.156495"
609971;"ESTR JOAO ANTONIO SILVEIRA";;1370;"Logradouro";"ABALROAMENTO";"1370 ESTR JOAO ANTONIO SILVEIRA";0;"2015-06-18T22:15:00";"20150618";"QUINTA-FEIRA";"22:15";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"436215";"SUL";18;6;2015;22;1;0;1;;0;"-51.14472";"-30.156495"
620404;"ESTR JOAO ANTONIO SILVEIRA";;1370;"Logradouro";"ABALROAMENTO";"1370 ESTR JOAO ANTONIO SILVEIRA";0;"2015-11-21T15:00:00";"20151121";"SABADO";"15:00";1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;"BOM";"DIA";"DEPTRAN";"826915";"SUL";21;11;2015;15;1;1;5;"STS";0;"-51.14472";"-30.156495"
602435;"ESTR JOAO ANTONIO SILVEIRA";;1400;"Logradouro";"ABALROAMENTO";"1400 ESTR JOAO ANTONIO SILVEIRA";0;"2015-02-06T23:25:00";"20150206";"SEXTA-FEIRA";"23:25";1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"079315";"SUL";6;2;2015;23;1;1;5;"STS";0;"-51.144285";"-30.156096"
614367;"ESTR JOAO ANTONIO SILVEIRA";;1400;"Logradouro";"ABALROAMENTO";"1400 ESTR JOAO ANTONIO SILVEIRA";0;"2015-08-23T19:50:00";"20150823";"DOMINGO";"19:50";2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"NUBLADO";"NOITE";"DEPTRAN";"592115";"SUL";23;8;2015;19;1;1;5;;0;"-51.144285";"-30.156096"
