LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA
-29974065.0;-51.169758;1;1;0;2;0;0;0;0
-30.060719;-51.169636;0;3;0;1;0;0;0;0
-30.040167999999998;-51.16960200000001;1;0;0;1;0;0;0;1
-30.060765999999997;-51.160416999999995;1;1;0;1;0;0;0;1
-30.007353000000002;-51.154374;1;3;0;1;0;0;0;0
-30.06502;-51.151343;1;1;0;1;0;0;1;0
-30.009665999999996;-51.148819;1;1;0;0;0;0;0;0
-30.008755999999998;-51.144366999999995;1;4;0;2;0;0;0;0
-29984861.0;-51.115751;0;1;0;0;0;0;0;0
-30.082895;-51.247007;1;1;1;0;0;0;1;0
-30.041264;-51.232890999999995;0;1;1;1;0;0;0;0
-30.092808;-51.230335;0;1;1;1;1;0;0;0
-30.099904;-51.22472;1;1;1;1;1;0;0;1
-30.091088;-51.222829;1;3;1;0;0;0;0;0
-30.03552100000001;-51.221661;1;2;1;0;0;0;0;0
-30.027131;-51.221071;1;1;1;0;0;0;0;0
-30.022982;-51.219027000000004;1;3;1;0;0;0;0;1
-30.083968;-51.214574;0;3;1;0;0;0;1;1
-30.037774;-51.209401;1;3;1;0;0;0;1;0
-30.122956;-51.208681;0;3;1;0;0;0;0;0
-30.074966999999997;-51.201256;1;3;1;0;0;0;0;0
-30.042398;-51.200259;1;1;1;1;0;0;0;1
-30.039575;-51.19441;0;1;1;0;0;0;1;0
-30.086538;-51.187496;1;2;1;1;0;0;0;0
-30.01375;-51.187024;1;3;1;0;0;0;0;0
-30.162284999999997;-51.183157;0;1;1;1;0;0;0;1
-30.167019;-51.181251;1;1;1;1;1;0;0;1
-30.00708400000001;-51.171519;1;3;1;0;0;0;1;0
-30.059258000000003;-51.169498;1;3;1;1;1;0;0;1
-30.025025;-51.141273;1;2;1;0;0;0;0;1
-30.041264;-51.232890999999995;1;3;2;1;0;0;0;0
-30.05573900000001;-51.229240999999995;1;1;2;1;1;0;0;0
-30.051565000000004;-51.228309;1;1;2;1;0;0;0;1
