LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,HORA.1,ACID_GRAVE
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,CHUVOSO,CENTRO,TARDE,NAO
Cruzamento,ABALROAMENTO,0,0,0,0,0,0,0,2,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,SUL,NOITE,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,NORTE,MANHA,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,LESTE,TARDE,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,CHUVOSO,LESTE,NOITE,NAO
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,NORTE,NOITE,NAO
Logradouro,COLISAO,0,0,0,0,0,0,1,1,0,0,TARDE,QUARTA-FEIRA,CHUVOSO,NORTE,TARDE,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,NORTE,MANHA,NAO
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,BOM,SUL,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,LESTE,MANHA,NAO
Cruzamento,COLISAO,1,0,0,1,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,LESTE,MANHA,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,LESTE,MANHA,NAO
Logradouro,COLISAO,0,0,0,0,0,0,1,1,0,0,TARDE,QUARTA-FEIRA,CHUVOSO,LESTE,TARDE,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,LESTE,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,LESTE,MANHA,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,CHUVOSO,NORTE,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,BOM,LESTE,MANHA,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,NUBLADO,LESTE,TARDE,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,NUBLADO,LESTE,TARDE,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,LESTE,MANHA,NAO
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,NORTE,MANHA,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,NORTE,MANHA,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,BOM,NORTE,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUINTA-FEIRA,CHUVOSO,SUL,NOITE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,SUL,MANHA,NAO
Cruzamento,ABALROAMENTO,1,0,0,1,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,NUBLADO,SUL,TARDE,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,BOM,SUL,MANHA,NAO
Cruzamento,COLISAO,1,1,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,MADRUGADA,QUINTA-FEIRA,BOM,CENTRO,MADRUGADA,NAO
Cruzamento,ABALROAMENTO,1,0,1,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,BOM,CENTRO,MANHA,NAO
Cruzamento,ABALROAMENTO,1,1,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,CENTRO,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,CENTRO,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,SUL,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,NOITE,QUINTA-FEIRA,BOM,CENTRO,NOITE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,LESTE,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,NOITE,QUINTA-FEIRA,BOM,NORTE,NOITE,NAO
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,LESTE,MANHA,NAO
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,NORTE,MANHA,NAO
Logradouro,CHOQUE,1,0,0,0,0,0,1,0,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,LESTE,TARDE,NAO
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,BOM,NORTE,TARDE,NAO
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,NORTE,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,1,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,LESTE,TARDE,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,NORTE,TARDE,NAO
Logradouro,COLISAO,3,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,NORTE,MANHA,NAO
