LOCAL,TIPO_ACID,DIA_SEM,TEMPO,REGIAO,HORA_DISCRETIZADA,ACID_GRAVE
Logradouro,ATROPELAMENTO,SABADO,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,QUEDA,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,CENTRO,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,COLISAO,SABADO,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,CHUVOSO,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,SUL,NOITE,SIM
Cruzamento,ABALROAMENTO,QUINTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Cruzamento,COLISAO,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,CHOQUE,DOMINGO,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,CENTRO,TARDE,SIM
Logradouro,QUEDA,SABADO,BOM,LESTE,TARDE,SIM
Logradouro,COLISAO,DOMINGO,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,SUL,MANHA,SIM
Cruzamento,COLISAO,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
