;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
231;-29999036.0;-51.191019;1;3;2;0;0;0;0;1;6
232;-30.050811;-51.190001;1;1;2;0;0;0;0;0;9
233;-30.023152000000003;-51.188451;1;2;2;0;0;0;0;1;7
234;-30.014378000000004;-51.186658;1;3;2;1;0;0;0;0;9
235;-30.157328000000003;-51.161381;0;1;2;0;0;0;0;1;7
236;-30.162883;-51.155527;1;1;2;1;0;0;0;1;7
237;-30.033501;-51.151234;1;1;2;0;0;0;0;1;7
238;-29997636.0;-51.142601;1;3;2;0;0;0;0;0;6
239;-30.014122;-51.119072;0;1;2;1;0;0;0;0;0
240;-29983631.0;-51.111818;1;0;2;2;0;0;0;1;6
241;-30.023601;-51.108513;1;1;2;1;1;0;0;0;4
242;-30.125190000000003;-51.097972;1;2;2;0;0;0;0;1;7
243;-30.10681;-51.24755;1;1;3;0;0;0;0;0;8
244;-30.111077;-51.243251;0;1;3;0;0;0;0;0;0
245;-30.092673;-51.230872;1;3;3;0;0;0;0;0;9
246;-30.092808;-51.230335;0;1;3;0;0;0;0;1;7
247;-30.058613;-51.230183;0;1;3;0;0;0;0;0;0
248;-30.058613;-51.230183;1;4;3;1;0;0;0;0;9
249;-30.032529;-51.22958;1;3;3;0;0;0;0;0;9
250;-30.027313;-51.223689;0;3;3;0;0;0;0;0;0
251;-30.125348;-51.22303400000001;1;4;3;0;0;0;0;1;7
252;-30.024951;-51.216031;0;3;3;0;0;0;0;0;0
253;-30.03013;-51.215126;1;5;3;0;0;0;0;1;7
254;-30.082985;-51.213925;1;3;3;0;0;0;0;0;9
255;-30.047774;-51.212998;0;1;3;0;0;0;0;1;7
256;-30.04979;-51.212129;0;1;3;0;0;0;0;0;0
257;-30.048898;-51.209709;1;1;3;0;0;0;0;0;8
258;-30.017022;-51.20781;1;3;3;1;0;0;0;0;9
