LOCAL;TIPO_ACID;HORA_DISCRETIZADA;DIA_SEM;TEMPO;REGIAO;ACID_GRAVE
Cruzamento;ABALROAMENTO;MADRUGADA;SABADO;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;CHOQUE;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;NOITE;DOMINGO;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;CHOQUE;NOITE;DOMINGO;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;NUBLADO;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;CHUVOSO;CENTRO;NAO
Logradouro;CAPOTAGEM;TARDE;DOMINGO;BOM;LESTE;NAO
Logradouro;CHOQUE;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;MANHA;QUINTA-FEIRA;BOM;LESTE;NAO
Cruzamento;QUEDA;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;NUBLADO;SUL;NAO
Logradouro;ABALROAMENTO;MADRUGADA;SABADO;BOM;CENTRO;NAO
Logradouro;EVENTUAL;NOITE;QUINTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;SABADO;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;DOMINGO;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;MANHA;DOMINGO;NUBLADO;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;NUBLADO;SUL;NAO
